Fuel,
1,Бензин
2,Дизель
3,ГБО
4,ГБО
5,Гібрид
6,Електро
8,ГБО
9,ГБО
10,Гібрид
,
,
,
Body,
3,седан
2,універсал
5,кросовер
4,хетчбек
8,мінівен
6,купе
9,пікап
254,фургон
307,ліфтбек
,
,
Country,
32,Аргентина
40,Австрія
56,Бельгія
76,Бразилія
100,Болгарія
112,Білорусь
124,Канада
158,Китай
203,Чехія
208,Данія
233,Естонія
246,Фінляндія
250,Франція
276,Німеччина
348,Угорщина
356,Індія
364,Іран
380,Італія
392,Японія
398,Казахстан
408,Корея
428,Латвія
440,Литва
442,Люксембург
458,Малайзія
498,Молдова
528,Нідерланди
578,Норвегія
616,Польша
620,Португалiя
642,Румунія
643,Росія
688,Сербія
703,Словаччина
705,Словенія
724,Іспанія
752,Швеція
756,Швейцарія
792,Туреччина
804,Україна
826,Англія
840,США
860,Узбекистан
900,Грузія
901,Ірландія
902,ОАЕ
903,Ісландія
,
,
Drive,
1,Повний
2,Передній
3,Задній
,
,
Gear,
1,MT
2,AT
