model_r,segment
Volkswagen Passat,D
Volkswagen Golf,C
Skoda Octavia,C
Renault Megane,C
Daewoo Lanos,B
Ford Focus,C
Renault Scenic,MPV
Opel Astra,C
Skoda Fabia,B
Audi A4,D
Opel Zafira,MPV
Volkswagen Touran,MPV
Audi A6,E
BMW 3 Series,D
BMW 5 Series,E
BMW X5,SUV
Mercedes-Benz E-Class,E
Chevrolet Aveo,B
Volkswagen Jetta,C
Mazda 6,D
Hyundai Tucson,SUV
Toyota Camry,E
Hyundai Sonata,D
Ford Fusion,D
Volkswagen Touareg,SUV
Volkswagen Tiguan,SUV
Mitsubishi Outlander,SUV
Mazda 3,C
Toyota RAV4,SUV
Hyundai Santa Fe,SUV
Nissan Qashqai,SUV
Toyota Avensis,D
Nissan Rogue,SUV
Renault Kangoo,LCV
Mitsubishi Lancer,C
Skoda Superb,D
Mercedes-Benz Vito,BUS
KIA Sportage,SUV
Ford Fiesta,B
Volkswagen Caddy,LCV
Mercedes-Benz C-Class,D
Opel Vectra,D
Ford C-Max,MPV
Nissan Leaf,C
Volkswagen Polo,B
Ford Mondeo,D
Chevrolet Lacetti,C
Dacia Logan,B
Honda CR-V,SUV
KIA Sorento,SUV
Honda Accord,D
Volkswagen Transporter,BUS
Audi Q7,SUV
ВАЗ / Lada 21099,B
Renault Laguna,D
Toyota Corolla,C
ВАЗ / Lada 2110,B
Mazda CX-5,SUV
Hyundai Accent,B
Audi Q5,SUV
KIA Ceed,C
Hyundai Elantra,C
Nissan X-Trail,SUV
Mercedes-Benz A-Class,B
Volvo V50,C
Ford Escape,SUV
Mercedes-Benz M-Class,SUV
Peugeot 308,C
Renault Trafic,BUS
BMW X3,SUV
Citroen C4 Picasso,MPV
ЗАЗ 1103 Славута,B
Opel Vivaro,BUS
Dodge Journey,SUV
Subaru Forester,SUV
Honda Civic,C
Audi A3,C
Jeep Compass,SUV
ВАЗ / Lada 2107,B
Toyota Land Cruiser Prado,SUV
Opel Insignia,D
Jeep Cherokee,SUV
KIA Optima,D
Dacia Sandero,B
Toyota Land Cruiser,SUV
Lexus RX,SUV
Mercedes-Benz B-Class,MPV
Peugeot 307,C
Peugeot 3008,MPV
ВАЗ / Lada 2115,B
Renault Clio,B
Opel Meriva,MPV
Mercedes-Benz Sprinter,BUS
Hyundai i30,C
Volkswagen CC,D
Renault Logan,B
Daewoo Matiz,A
Citroen Berlingo,LCV
Fiat Doblo,LCV
Mercedes-Benz S-Class,F
Volkswagen Golf Plus,MPV
